,State,County Code,Latitude,Longitude
105,48,453,30.263204,-97.712891
106,48,439,32.759154,-97.342332
107,48,375,35.201592,-101.909275
108,48,361,30.085263,-93.761341
109,48,355,27.811817,-97.465703
110,48,303,33.590764,-101.850419
111,48,245,29.922894,-93.909018
112,48,215,26.22621,-98.291069
113,48,203,32.669001,-94.167468
114,48,201,29.733726,-95.257593
115,48,141,31.758532,-106.501045
116,48,139,32.482083,-97.026899
117,48,135,31.836577,-102.342066
118,48,113,32.676451,-96.87206
119,48,061,26.0711,-97.1577
120,48,043,29.30265,-103.17781
121,48,037,33.425758,-94.070802
122,48,029,29.275381,-98.311692
123,47,165,36.29756,-86.653137
124,47,163,36.538761,-82.521599
125,47,157,35.168894,-90.021537
126,47,145,35.889824,-84.51713
127,47,141,36.185702,-85.492107
128,47,125,36.514627,-87.328041
129,47,119,35.65188,-87.0096
